,Address,Long,Lat
487,"201 E FRONT ST, Missoula, MT",-113.99,46.87
488,"201 E FRONT ST, Missoula, MT",-113.99,46.87
489,"2405  38th STREET, Missoula, MT",-114.04,46.84
490,"1817  SOUTH AVENUE, Missoula, MT",-114.02,46.85
491,"  CATLIN & WYOMING, Missoula, MT",,
492,"  , Missoula, MT",-114.0,46.87
493,"  WALNUT ST, Missoula, MT",-114.01,46.87
494,"  , Missoula, MT",-114.0,46.87
495,"1200  WYOMING ST., Missoula, MT",-114.01,46.87
496,"  WYOMING ST., Missoula, MT",-114.04,46.87
497,"1130 W BROADWAY, Missoula, MT",,
498,"  , Missoula, MT",-114.0,46.87
499,"  , Missoula, MT",-114.0,46.87
500,"  SOUTH AV, Missoula, MT",,
501,"  Old Sawmill District, Missoula, MT",,
502,"255 S RUSSELL ST, Missoula, MT",-114.02,46.87
503,"1925  BROOKS ST, Missoula, MT",-114.01,46.85
504,"  WYOMING ST, Missoula, MT",-114.04,46.87
505,"1110 W BROADWAY, Missoula, MT",,
506,"  SCOTT ST & TOOLE AVE, Missoula, MT",,
507,"218 E FRONT ST, Missoula, MT",-113.99,46.87
508,"  , Missoula, MT",-114.0,46.87
509,"  BURLINGTON AVE, Missoula, MT",-114.01,46.86
510,"1580  Milwaukee Way, Missoula, MT",-114.02,46.87
511,"2704  BROOKS ST, Missoula, MT",-114.02,46.85
512,"1205  IDAHO ST, Missoula, MT",-114.01,46.87
513,"  FRONT & MAIN ST, Missoula, MT",,
514,"2230  MCDONALD ST, Missoula, MT",,
515,"1111 W BROADWAY, Missoula, MT",,
